image,Epsilon,label,runtime,network,ds
208,0.041,2,9585.801842451096,mnist-net,test
221,0.025,2,2816.37242436409,mnist-net,test
222,0.037,2,2497.143969297409,mnist-net,test
225,0.045,2,11261.082943677902,mnist-net,test
236,0.055,2,6860.309906244278,mnist-net,test
237,0.031,2,3788.299074411392,mnist-net,test
244,0.005,2,141.04154706001282,mnist-net,test
249,0.015,2,514.4768626689911,mnist-net,test
256,0.031,2,1897.6090288162231,mnist-net,test
258,0.045,2,6964.056487798691,mnist-net,test
278,0.029,2,2353.9217314720154,mnist-net,test
280,0.029,2,427.7192163467407,mnist-net,test
285,0.051,2,6848.002183914185,mnist-net,test
291,0.041,2,4033.141690015793,mnist-net,test
293,0.059,2,7281.663164615631,mnist-net,test
298,0.025,2,4025.1461980342874,mnist-net,test
303,0.023,2,860.6938691139221,mnist-net,test
306,0.043,2,2648.6475746631622,mnist-net,test
318,0.013,2,816.0602180957794,mnist-net,test
326,0.001,2,127.47460865974426,mnist-net,test
331,0.027,2,750.8122978210449,mnist-net,test
362,0.047,2,3598.5294091701508,mnist-net,test
363,0.037,2,6155.277692317963,mnist-net,test
371,0.051,2,5558.848493814468,mnist-net,test
387,0.035,2,4809.87849354744,mnist-net,test
390,0.055,2,3402.8751323223114,mnist-net,test
396,0.025,2,2740.7581403255463,mnist-net,test
400,0.025,2,1155.319752216339,mnist-net,test
404,0.015,2,553.1644830703735,mnist-net,test
418,0.033,2,3797.164966106415,mnist-net,test
421,0.035,2,3231.8084466457367,mnist-net,test
423,0.057,2,9012.443149805067,mnist-net,test
444,0.031,2,755.5936920642853,mnist-net,test
452,0.039,2,2358.196581363678,mnist-net,test
456,0.017,2,2761.6304659843445,mnist-net,test
467,0.039,2,1849.9663965702057,mnist-net,test
477,0.053,2,6902.92564702034,mnist-net,test
492,0.013,2,106.42960381507874,mnist-net,test
503,0.069,2,6517.454313993454,mnist-net,test
512,0.047,2,2924.165371656418,mnist-net,test
513,0.055,2,4737.9941947460175,mnist-net,test
516,0.053,2,6864.10427737236,mnist-net,test
536,0.009,2,237.3847370147705,mnist-net,test
539,0.047,2,3113.758271217346,mnist-net,test
547,0.031,2,603.4491555690765,mnist-net,test
549,0.077,2,8214.845818042755,mnist-net,test
583,0.001,2,101.58872747421265,mnist-net,test
609,0.033,2,1059.1664063930511,mnist-net,test
612,0.041,2,6103.601988554001,mnist-net,test
613,0.011,2,2743.907476902008,mnist-net,test
624,0.021,2,660.2324209213257,mnist-net,test
629,0.031,2,3380.450896501541,mnist-net,test
632,0.039,2,3287.247748851776,mnist-net,test
633,0.035,2,6645.693182229996,mnist-net,test
635,0.019,2,1485.9428415298462,mnist-net,test
643,0.059,2,10673.066470384598,mnist-net,test
653,0.019,2,327.32357025146484,mnist-net,test
690,0.059,2,10063.535293340685,mnist-net,test
715,0.045,2,806.6172480583191,mnist-net,test
728,0.041,2,3536.7191128730774,mnist-net,test
731,0.041,2,8862.778987169266,mnist-net,test
738,0.021,2,449.4027750492096,mnist-net,test
741,0.053,2,8358.919367313385,mnist-net,test
744,0.045,2,3535.642068862915,mnist-net,test
764,0.029,2,5626.366870880127,mnist-net,test
775,0.037,2,2593.894386291504,mnist-net,test
796,0.051,2,3189.471761703491,mnist-net,test
799,0.073,2,9507.667258739471,mnist-net,test
816,0.043,2,1105.3322224617004,mnist-net,test
823,0.039,2,2692.1726937294006,mnist-net,test
828,0.027,2,750.231499671936,mnist-net,test
830,0.021,2,3752.703962802887,mnist-net,test
837,0.021,2,1964.58434343338,mnist-net,test
858,0.031,2,6959.756064176559,mnist-net,test
863,0.035,2,4211.172291517258,mnist-net,test
867,0.037,2,2976.20986032486,mnist-net,test
868,0.019,2,1543.6695063114166,mnist-net,test
873,0.039,2,6520.784327983856,mnist-net,test
875,0.023,2,1197.5860857963562,mnist-net,test
888,0.035,2,7463.750251054764,mnist-net,test
891,0.021,2,337.53518056869507,mnist-net,test
5,0.027,2,2796.610131263733,mnist-net,train
16,0.031,2,3542.4481542110443,mnist-net,train
25,0.029,2,1114.7573914527893,mnist-net,train
28,0.059,2,7604.302543401718,mnist-net,train
76,0.041,2,1459.7070038318634,mnist-net,train
82,0.049,2,6973.914824724197,mnist-net,train
109,0.029,2,3508.0937848091125,mnist-net,train
117,0.027,2,3265.54957652092,mnist-net,train
120,0.031,2,6810.751853466034,mnist-net,train
122,0.043,2,3072.381712198257,mnist-net,train
143,0.027,2,1663.277021408081,mnist-net,train
159,0.031,2,3452.871767759323,mnist-net,train
161,0.061,2,6775.994259119034,mnist-net,train
171,0.047,2,10747.855727910995,mnist-net,train
178,0.025,2,3448.615965604782,mnist-net,train
180,0.005,2,267.7437641620636,mnist-net,train
