epsilon,result,label,runtime,network,image,ds
0.079,sat,0,2187.5722529888158,mnist-net,246,test
0.071,unsat,0,3450.504320383072,mnist-net,246,test
0.073,timeout,0,3600.0,mnist-net,246,test
0.075,unsat,0,3525.643008708954,mnist-net,246,test
0.077,unsat,0,3501.668862819672,mnist-net,246,test
0.265,sat,0,3.53391695022583,mnist-net,25,test
0.133,sat,0,3.5632660388946533,mnist-net,25,test
0.131,sat,0,3.5584793090820312,mnist-net,25,test
0.065,sat,0,172.6526439189911,mnist-net,25,test
0.031,unsat,0,1.835209369659424,mnist-net,25,test
0.047,unsat,0,1.7375423908233645,mnist-net,25,test
0.055,unsat,0,158.79599618911743,mnist-net,25,test
0.059,unsat,0,102.40124297142027,mnist-net,25,test
0.061,unsat,0,216.8944501876831,mnist-net,25,test
0.063,unsat,0,771.6967966556549,mnist-net,25,test
0.265,sat,0,1.945654392242432,mnist-net,269,test
0.133,sat,0,3.052719593048096,mnist-net,269,test
0.131,sat,0,3.112236738204956,mnist-net,269,test
0.065,unsat,0,3357.6423959732056,mnist-net,269,test
0.063,cancelled,0,3355.7659828662872,mnist-net,269,test
0.107,sat,0,4.401334762573242,mnist-net,269,test
0.087,sat,0,4.446384429931641,mnist-net,269,test
0.085,sat,0,4.373708009719849,mnist-net,269,test
0.075,sat,0,23.347527265548703,mnist-net,269,test
0.073,sat,0,21.636416912078857,mnist-net,269,test
0.069,sat,0,54.090128898620605,mnist-net,269,test
0.067,sat,0,76.82692432403564,mnist-net,269,test
0.265,sat,0,2.759934902191162,mnist-net,271,test
0.133,sat,0,3.896583318710327,mnist-net,271,test
0.131,sat,0,4.133076906204224,mnist-net,271,test
0.063,sat,0,28.315693616867065,mnist-net,271,test
0.065,cancelled,0,39.05950546264648,mnist-net,271,test
0.021,unsat,0,2.7183260917663574,mnist-net,271,test
0.041,unsat,0,63.07239127159119,mnist-net,271,test
0.043,unsat,0,85.43547797203064,mnist-net,271,test
0.051,unsat,0,554.729770898819,mnist-net,271,test
0.053,unsat,0,588.1912870407104,mnist-net,271,test
0.059,sat,0,82.68064904212952,mnist-net,271,test
0.055,unsat,0,1875.302731752396,mnist-net,271,test
0.057,unsat,0,3503.996515750885,mnist-net,271,test
0.133,sat,0,4.378431797027588,mnist-net,28,test
0.265,cancelled,0,8.357522964477539,mnist-net,28,test
0.087,sat,0,4.384418725967407,mnist-net,28,test
0.041,unsat,0,29.77357840538025,mnist-net,28,test
0.043,unsat,0,65.6792151927948,mnist-net,28,test
0.063,unsat,0,3331.590805053711,mnist-net,28,test
0.065,unsat,0,3536.505715608597,mnist-net,28,test
0.077,sat,0,23.426664113998413,mnist-net,28,test
0.075,sat,0,420.9295160770416,mnist-net,28,test
0.071,unsat,0,3157.3251554965973,mnist-net,28,test
0.069,cancelled,0,3384.099252939224,mnist-net,28,test
0.073,sat,0,242.7540876865387,mnist-net,28,test
0.265,sat,0,2.7596912384033203,mnist-net,294,test
0.133,sat,0,4.13591742515564,mnist-net,294,test
0.131,sat,0,3.847616195678711,mnist-net,294,test
0.065,sat,0,3.983606576919556,mnist-net,294,test
0.063,sat,0,3.790826559066773,mnist-net,294,test
