,network,metric_1,metric_2,metric_3,metric_4,run
86,mnist_relu_6_100,1,0.08327782899141312,0.004212678410112858,0.021130690351128578,6
87,mnist_relu_6_100,1,0.027586206793785095,0.006968711502850056,0.01831550896167755,7
88,mnist_relu_6_100,1,0.1914893537759781,0.002739592455327511,0.009716397151350975,8
89,mnist_relu_6_100,0,0.0,0.009351936168968678,0.010187188163399696,9
90,mnist_relu_6_200,1,0.08088235557079315,0.005992839112877846,0.01583836041390896,0
91,mnist_relu_6_200,1,0.18478260934352875,0.0,0.010197381488978863,1
92,mnist_relu_6_200,1,0.09622412174940109,0.0034187380224466324,0.02500547468662262,2
93,mnist_relu_6_200,0,0.0,0.008238937705755234,0.012778468430042267,3
94,mnist_relu_6_200,1,0.10000000149011612,0.005104938521981239,0.014521373435854912,4
95,mnist_relu_6_200,1,0.23636361956596375,0.0020934734493494034,0.007906600832939148,5
96,mnist_relu_6_200,1,0.19354836642742157,0.0013564135879278183,0.011653026565909386,6
97,mnist_relu_6_200,1,0.16551727056503296,0.0017438530921936035,0.013229461386799812,7
98,mnist_relu_6_200,1,0.02857142873108387,0.0078276377171278,0.020971309393644333,8
99,mnist_relu_6_200,1,0.0,0.005004962906241417,0.00989963486790657,9
100,mnist_relu_9_100,1,0.01331057958304882,0.00782935693860054,0.022832972928881645,0
